I|23.07.2009 15:00:22:968 |     |243   |(1bc)|i: FLC Product / App. version: VF20G / VF28L
I|23.07.2009 15:00:22:968 |     |243   |(1bc)|Host name: 8CA001F6
I|23.07.2009 15:00:22:968 |     |243   |(1bc)|Material number: 10281013 Serial Number: 20111
I|23.07.2009 15:00:22:968 |     |243   |(1bc)|Institution name: ; Institutional Department name: 
I|23.07.2009 15:00:23:187 |     |243   |(1bc)|i: \\.\DISPLAY1 = NVIDIA Quadro NVS 290
I|23.07.2009 15:00:23:187 |     |243   |(1bc)|GEAR; i: Gear Toolkit version: 3.53.2
I|23.07.2009 15:00:23:234 |     |243   |(7d4)|FLCDCM; Waiting thread start
I|23.07.2009 15:00:23:765 |     |243   |(1bc)|NVIDIA Quadro NVS 290, GPU pipeline available
I|23.07.2009 15:00:23:765 |     |243   |(94)|AXN client for DFR started
I|23.07.2009 15:00:23:796 |     |243   |(7d0)|FDR_Init succesful
I|23.07.2009 15:00:24:765 |     |243   |(e8)|VIDEO ; AXN client for Video started
I|23.07.2009 15:00:25:562 |     |243   |(7d0)|FDR_StartLcpu(11001F) ok
I|23.07.2009 15:00:25:562 |     |243   |(ec)|calling FDR_WaitPowerOffRequest
I|23.07.2009 15:00:25:562 |     |243   |(f8)|WaitConditioningStatusChange thread started
T|23.07.2009 15:00:27:765 |     |243   |(94)|Telegram ID 29200 received
I|23.07.2009 15:00:27:765 |     |240   |(94)|in-list enhancemet
I|23.07.2009 15:00:27:765 |     |243   |(94)|Telegram INIT_MESSAGE ApId F3 processed
I|23.07.2009 15:00:27:765 |     |240   |(1bc)|XCS interface started
T|23.07.2009 15:00:27:765 |     |243   |(94)|Telegram ID 29202 received
I|23.07.2009 15:00:27:765 |     |243   |(94)|Telegram TURNON from ApId F3 to ApId F3 (66 objects) processed
I|23.07.2009 15:00:27:781 |     |243   |(1bc)|FLCSRV; sd_gui run registry key not set
I|23.07.2009 15:00:27:812 |     |243   |(1bc)|FLCDOC; DFR/RAD autofilm configuration: Off/Off (all)
